,zengarden,lighthouse,hacienda,snowtuxpeak,cornfield_crossing,scotland
advanced-pathing,552.0,554.0,1000.0,1000.0,875.0,756.0
advanced-pathing-2,518.0,605.0,613.0,776.0,778.0,845.0
advanced-pathing-3,668.0,644.0,1000.0,764.0,954.0,1000.0
default-codebase,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
modified-cnn,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
modified-cnn-2,592.0,617.0,782.0,764.0,935.0,875.0
modified-cnn-3,631.0,637.0,776.0,865.0,886.0,962.0
modified-cnn-4,535.0,690.0,764.0,825.0,973.0,804.0
modified-cnn-5,567.0,622.0,731.0,768.0,988.0,816.0
powerups,526.0,548.0,593.0,943.0,806.0,727.0
powerups-2,579.0,467.0,1000.0,843.0,811.0,719.0
powerups-3,404.0,458.0,549.0,585.0,735.0,599.0
powerups-4-pathing,415.0,461.0,548.0,760.0,709.0,596.0
powerups-4-smarter,431.0,483.0,550.0,540.0,840.0,605.0
powerups-4-track-optim,415.0,437.0,561.0,718.0,769.0,600.0
powerups-5-pathing,395.0,480.0,554.0,540.0,809.0,602.0
powerups-6-pathing,379.0,485.0,648.0,807.0,687.0,604.0
powerups-7-pathing,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
